"Name,Lattitude,Longitude,Withdrawals_MCM_2010",,,
"Salbukh_Water_Station,25.05608,46.47938,33.0",,,
Al_Hunayy,24.96442,48.75587,124.5
Buwaib_Station,25.02767,46.83767,26.2
Al_Wasee,25.09783,47.54007,64.2
Manfuhah,24.6003,46.71729,20.1
Al_Malaz,24.67651,46.72317,4.0
Ash_Shimaisi,24.62357,46.70333,9.9
Al_Hair,24.35536,46.90745,16.2
Ag_Well_1,24.39375,46.225,49
Ag_Well_2,24.71111,45.81667,83
Ag_Well_3,24.06429,45.42857,62
Ag_Well_4,24.39286,45.86429,111
Ag_Well_5,24.05455,45.97273,65
